Tarih,Close,Open,High,Low
19.11.2013,2.0112,2.0217,2.0242,2.0027
20.11.2013,2.0154,2.0112,2.0166,1.999
21.11.2013,2.0168,2.0151,2.0272,2.0122
22.11.2013,2.0057,2.0166,2.0229,2.0034
25.11.2013,2.0078,2.0046,2.0095,1.9909
26.11.2013,2.0136,2.0098,2.0253,2.0019
27.11.2013,2.0254,2.0139,2.0307,2.0107
28.11.2013,2.0147,2.0276,2.0278,2.013
29.11.2013,2.0198,2.0152,2.0262,2.0121
02.12.2013,2.0389,2.0212,2.0452,2.0162
03.12.2013,2.0434,2.0396,2.0488,2.0294
04.12.2013,2.0486,2.0444,2.0575,2.0408
05.12.2013,2.0368,2.0486,2.0549,2.0324
06.12.2013,2.0252,2.0387,2.0562,2.0183
09.12.2013,2.0324,2.0251,2.0385,2.0219
10.12.2013,2.0278,2.0322,2.0356,2.021
11.12.2013,2.0429,2.0301,2.0482,2.0242
12.12.2013,2.0433,2.0427,2.048,2.033
13.12.2013,2.0404,2.0444,2.0488,2.0366
16.12.2013,2.0274,2.0432,2.0438,2.0252
17.12.2013,2.036,2.0278,2.0452,2.0232
18.12.2013,2.0578,2.0376,2.0606,2.036
19.12.2013,2.0728,2.0592,2.0827,2.0457
20.12.2013,2.0918,2.0737,2.1012,2.0728
23.12.2013,2.0977,2.0905,2.0982,2.0822
24.12.2013,2.0775,2.0986,2.1003,2.0757
25.12.2013,2.0956,2.079,2.0956,2.0607
26.12.2013,2.1271,2.0962,2.1433,2.0863
27.12.2013,2.1513,2.129,2.1796,2.1141
30.12.2013,2.1231,2.1505,2.1576,2.1185
31.12.2013,2.1458,2.1237,2.1587,2.1109
01.01.2014,2.1483,2.1447,2.1483,2.1447
02.01.2014,2.1713,2.1481,2.19,2.1456
03.01.2014,2.1785,2.1713,2.1835,2.161
06.01.2014,2.1715,2.1757,2.1955,2.17
07.01.2014,2.1678,2.1731,2.1842,2.1572
08.01.2014,2.1856,2.1694,2.1885,2.1607
09.01.2014,2.178,2.1862,2.1948,2.1768
10.01.2014,2.165,2.1785,2.1831,2.157
13.01.2014,2.1795,2.1644,2.1881,2.1621
14.01.2014,2.1838,2.1794,2.1989,2.1775
15.01.2014,2.1913,2.1864,2.2011,2.1831
16.01.2014,2.2069,2.1923,2.2157,2.1904
17.01.2014,2.2317,2.2098,2.2355,2.2043
20.01.2014,2.2403,2.2326,2.2529,2.2306
21.01.2014,2.2517,2.241,2.271,2.2346
22.01.2014,2.2582,2.2516,2.2687,2.2352
23.01.2014,2.2928,2.2589,2.3048,2.2575
24.01.2014,2.3315,2.2934,2.3392,2.2843
27.01.2014,2.283,2.3334,2.393,2.2828
28.01.2014,2.252,2.2853,2.29,2.2505
29.01.2014,2.2607,2.2503,2.3197,2.1646
30.01.2014,2.2693,2.2617,2.3027,2.2397
31.01.2014,2.2607,2.2665,2.2962,2.2402
03.02.2014,2.2824,2.2545,2.2859,2.2544
04.02.2014,2.238,2.283,2.2862,2.2347
05.02.2014,2.2386,2.2374,2.2534,2.2303
06.02.2014,2.2096,2.238,2.2387,2.2022
07.02.2014,2.2199,2.2129,2.2289,2.1889
10.02.2014,2.2176,2.2246,2.2391,2.2092
11.02.2014,2.1932,2.2167,2.2242,2.1915
12.02.2014,2.1926,2.1929,2.2022,2.1772
13.02.2014,2.1856,2.193,2.2122,2.1847
